gender,migration,medical,disabilities,age,race,religions,degree,Code1,Code2,Code3,Code4,Code5,Code6,Code7,hrlabel
2,1,2,3,1,1,1,8,health risk,Data Protection,,,,,,1
2,1,1,3,1,1,1,9,health risk,Data Protection,,,,,,1
2,1,1,3,2,2,1,7,health risk,uncertainty,Sshort,,,,,1
1,1,2,3,1,6,1,8,,,,,,,,0
1,1,2,3,1,2,1,8,health risk,Data Protection,Cost,knowledge,,,,1
1,1,2,3,1,5,1,9,health risk,,,,,,,1
2,1,1,3,1,2,14,4,Data Protection,health risk,Llong,,,,,1
1,1,2,3,2,2,1,9,,,,,,,,0
1,1,2,3,1,2,1,9,,,,,,,,0
1,1,2,3,1,2,1,8,knowledge,,,,,,,0
1,1,2,3,1,2,1,8,health risk,,,,,,,1
1,0,2,3,3,1,1,11,health risk,Data Protection,,,,,,1
2,0,2,3,1,5,14,5,absence,,,,,,,0
1,0,1,1,1,5,9,4,health risk,Data Protection,,,,,,1
2,1,2,3,1,5,1,8,health risk,Data Protection,,,,,,1
1,0,2,3,1,5,3,8,health risk,Data Protection,"Ethical, Moral",,,,,1
2,1,2,3,1,2,14,8,,,,,,,,0
2,1,2,3,1,2,1,8,health risk,Data Protection,,,,,,1
2,0,2,3,1,1,13,8,Data Protection,,,,,,,0
1,1,2,3,2,1,13,9,Data Protection,health risk, ,,,,,1
2,1,2,3,1,2,1,8,Data Protection,,,,,,,0
1,0,2,3,2,5,3,9,Data Protection,health risk ,"Ethical, moral",social,,,,1
2,0,2,3,1,5,9,8,Data Protection,health risk,,,,,,1
2,0,2,3,1,5,3,9,health risk,,,,,,,1
2,1,2,3,3,1,1,11,religious and ethical conflict,"Ethical, Moral",,,,,,0
2,0,2,3,1,1,1,5,health risk,Data Protection,,,,,,1
1,1,2,3,1,1,1,8,,,,,,,,0
2,0,2,3,1,1,3,5,,,,,,,,0
2,1,2,3,1,5,13,7,Data Protection,health risk,Sshort,Fear,,,,1
2,1,2,3,1,6,2,4,Data Protection,social,,,,,,0
1,1,2,3,1,5,11,5,Data Protection,social,health risk,,,,,1
2,0,2,3,1,5,3,4,Data Protection,,,,,,,0
2,0,2,3,1,1,1,8,health risk,Data Protection,,,,,,1
2,0,2,3,1,6,9,5,Data Protection,,,,,,,0
2,1,2,3,1,1,1,8,knowledge,,,,,,,0
2,1,1,3,3,2,9,8,Data Protection,,,,,,,0
1,0,2,3,1,2,10,5,health risk,Data Protection,,,,,,1
2,1,1,3,1,5,2,4,health risk,,,,,,,1
1,0,2,3,1,5,13,5,,,,,,,,0
